setting,div,grammar,perplexity
1-1,0,100000,24.94
1-1,0,001010,25.95
1-1,0,110101,28.63
1-1,0,011111,25.7
1-1,0,011011,25.3
1-1,0,110001,28.75
1-1,0,001110,26.74
1-1,0,100100,24.87
1-1,0,111000,30.45
1-1,0,010010,29.79
1-1,0,101101,26.45
1-1,0,000111,26.16
1-1,0,000011,26.21
1-1,0,101001,26.73
1-1,0,010110,29.42
1-1,0,111100,30.44
1-1,0,000100,24.62
1-1,0,101110,26.2
1-1,0,010001,28.11
1-1,0,111011,29.27
1-1,0,111111,29.48
1-1,0,010101,29.48
1-1,0,101010,26.56
1-1,0,000000,24.72
1-1,0,011100,25.89
1-1,0,110110,30.51
1-1,0,001001,27.4
1-1,0,100011,24.27
1-1,0,100111,24.03
1-1,0,001101,27.49
1-1,0,110010,30.15
1-1,0,011000,25.96
1-1,1,000111,25.25
1-1,1,101101,24.88
1-1,1,010010,27.74
1-1,1,111000,28.45
1-1,2,100101,24.1
1-1,2,001111,25.92
1-1,2,110000,29.82
1-1,2,011010,26.5
1-1,2,011110,25.91
1-1,2,110100,28.72
1-1,2,001011,25.91
1-1,2,100001,24.43
1-1,1,111100,28.49
1-1,1,010110,27.62
1-1,1,101001,25.37
1-1,1,000011,25.38
1-1,1,011111,24.74
1-1,1,110101,28.54
1-1,1,001010,26.15
1-1,1,100000,23.97
1-1,2,111101,27.46
1-1,2,010111,27.55
1-1,2,101000,26.2
1-1,2,000010,23.86
1-1,2,000110,23.92
1-1,2,101100,26.21
1-1,2,010011,26.62
1-1,2,111001,27.01
1-1,1,100100,23.96
1-1,1,001110,26.29
1-1,1,110001,28.74
1-1,1,011011,24.54
1-1,1,100011,23.48
1-1,1,001001,26.66
1-1,1,110110,29.1
1-1,1,011100,25.09
1-1,2,000001,26.06
1-1,2,101011,24.36
1-1,2,010100,28.07
1-1,2,111110,30.74
1-1,2,111010,30.72
1-1,2,010000,27.91
1-1,2,101111,23.87
1-1,2,000101,26.34
1-1,1,011000,25.22
1-1,1,110010,29.1
1-1,1,001101,28.02
1-1,1,100111,23.05
1-1,1,111011,29.0
1-1,1,010001,26.19
1-1,1,101110,25.67
1-1,1,000100,24.57
1-1,2,011001,25.71
1-1,2,110011,27.04
1-1,2,001100,25.32
1-1,2,100110,23.81
1-1,2,100010,24.06
1-1,2,001000,26.9
1-1,2,110111,27.89
1-1,2,011101,25.22
1-1,1,000000,24.64
1-1,1,101010,25.33
1-1,1,010101,26.28
1-1,1,111111,28.97
1-1,1,011001,24.79
1-1,1,110011,28.05
1-1,1,001100,25.57
1-1,1,100110,23.76
1-1,2,111011,27.18
1-1,2,010001,26.77
1-1,2,101110,25.94
1-1,2,000100,23.9
1-1,2,000000,23.97
1-1,2,101010,26.1
1-1,2,010101,26.82
1-1,2,111111,27.54
1-1,1,100010,23.93
1-1,1,001000,25.59
1-1,1,110111,27.57
1-1,1,011101,24.84
1-1,1,000001,25.9
1-1,1,101011,24.49
1-1,1,010100,27.32
1-1,1,111110,29.68
1-1,2,100011,23.73
1-1,2,001001,26.68
1-1,2,110110,28.97
1-1,2,011100,25.83
1-1,2,011000,25.85
1-1,2,110010,29.03
1-1,2,001101,26.09
1-1,2,100111,23.46
1-1,1,111010,29.13
1-1,1,010000,27.4
1-1,1,101111,24.23
1-1,1,000101,26.12
1-1,1,111101,27.82
1-1,1,010111,26.37
1-1,1,101000,25.46
1-1,1,000010,24.54
1-1,2,011111,25.07
1-1,2,110101,29.25
1-1,2,001010,25.28
1-1,2,100000,24.68
1-1,2,100100,24.31
1-1,2,001110,25.62
1-1,2,110001,29.17
1-1,2,011011,25.03
1-1,1,000110,24.43
1-1,1,101100,25.62
1-1,1,010011,26.02
1-1,1,111001,27.87
1-1,1,100101,24.19
1-1,1,001111,26.39
1-1,1,110000,28.5
1-1,1,011010,25.3
1-1,2,000111,25.37
1-1,2,101101,25.03
1-1,2,010010,29.26
1-1,2,111000,28.54
1-1,2,111100,28.52
1-1,2,010110,28.97
1-1,2,101001,25.32
1-1,2,000011,25.3
1-1,1,011110,25.32
1-1,1,110100,28.49
1-1,1,001011,26.39
1-1,1,100001,24.15
1-1,0,111110,30.69
1-1,0,010100,30.47
1-1,0,101011,25.41
1-1,0,000001,27.16
1-1,0,000101,27.08
1-1,0,101111,25.08
1-1,0,010000,30.59
1-1,0,111010,31.08
1-1,0,100110,24.7
1-1,0,001100,26.71
1-1,0,110011,28.95
1-1,0,011001,25.52
1-1,0,011101,25.94
1-1,0,110111,28.1
1-1,0,001000,26.8
1-1,0,100010,24.99
1-1,0,011010,26.2
1-1,0,110000,30.49
1-1,0,001111,26.42
1-1,0,100101,24.71
1-1,0,100001,25.05
1-1,0,001011,26.37
1-1,0,110100,30.3
1-1,0,011110,26.18
1-1,0,000010,24.75
1-1,0,101000,27.11
1-1,0,010111,27.15
1-1,0,111101,28.29
1-1,0,111001,28.29
1-1,0,010011,27.06
1-1,0,101100,26.39
1-1,0,000110,24.7
1-2,0,111100,25.5
1-2,0,010110,25.04
1-2,0,101001,22.73
1-2,0,000011,25.12
1-2,0,000111,25.03
1-2,0,101101,22.55
1-2,0,010010,25.02
1-2,0,111000,25.5
1-2,0,100100,21.5
1-2,0,001110,23.78
1-2,0,110001,25.16
1-2,0,011011,23.62
1-2,0,011111,23.83
1-2,0,110101,25.1
1-2,0,001010,23.74
1-2,0,100000,21.55
1-2,0,011000,23.53
1-2,0,110010,25.6
1-2,0,001101,24.4
1-2,0,100111,21.89
1-2,0,100011,22.18
1-2,0,001001,24.39
1-2,0,110110,25.52
1-2,0,011100,23.55
1-2,0,000000,24.02
1-2,0,101010,22.77
1-2,0,010101,24.26
1-2,0,111111,24.55
1-2,0,111011,24.56
1-2,0,010001,24.29
1-2,0,101110,22.75
1-2,0,000100,24.05
1-2,1,011011,23.32
1-2,1,110001,24.78
1-2,1,001110,23.55
1-2,1,100100,21.26
1-2,1,100000,21.3
1-2,1,001010,23.55
1-2,1,110101,24.82
1-2,1,011111,23.32
1-2,1,000011,24.85
1-2,1,101001,22.38
1-2,1,010110,24.79
1-2,1,111100,25.1
1-2,1,111000,25.15
1-2,1,010010,24.79
1-2,1,101101,22.12
1-2,1,000111,24.79
1-2,1,111111,24.15
1-2,1,010101,23.99
1-2,1,101010,22.38
1-2,1,000000,23.29
1-2,1,000100,23.75
1-2,1,101110,22.46
1-2,1,010001,24.0
1-2,1,111011,24.16
1-2,1,100111,21.66
1-2,1,001101,24.03
1-2,1,110010,25.35
1-2,1,011000,23.33
1-2,1,011100,23.34
1-2,1,110110,25.41
1-2,1,001001,24.1
1-2,1,100011,21.92
1-2,1,000101,25.69
1-2,1,101111,22.29
1-2,1,010000,24.55
1-2,1,111010,25.24
1-2,1,111110,25.25
1-2,1,010100,24.57
1-2,1,101011,22.53
1-2,1,000001,25.68
1-2,1,011101,23.25
1-2,1,110111,24.18
1-2,1,001000,23.9
1-2,1,100010,21.21
1-2,1,100110,21.19
1-2,1,001100,24.07
1-2,1,110011,24.33
1-2,1,011001,23.24
1-2,1,100001,21.9
1-2,1,001011,23.87
1-2,1,110100,25.42
1-2,1,011110,23.45
1-2,1,011010,23.48
1-2,1,110000,25.31
1-2,1,001111,23.95
1-2,1,100101,21.67
1-2,1,111001,24.64
1-2,1,010011,24.17
1-2,1,101100,22.68
1-2,1,000110,23.22
1-2,1,000010,24.06
1-2,1,101000,22.7
1-2,1,010111,24.27
1-2,1,111101,24.67
1-2,0,100010,21.58
1-2,0,001000,24.06
1-2,0,110111,24.53
1-2,0,011101,23.49
1-2,0,011001,23.45
1-2,0,110011,24.62
1-2,0,001100,24.06
1-2,0,100110,21.54
1-2,0,111010,25.54
1-2,0,010000,24.74
1-2,0,101111,22.18
1-2,0,000101,26.26
1-2,0,000001,26.29
1-2,0,101011,22.51
1-2,0,010100,24.71
1-2,0,111110,25.49
1-2,0,000110,24.08
1-2,0,101100,22.69
1-2,0,010011,24.33
1-2,0,111001,24.88
1-2,0,111101,24.86
1-2,0,010111,24.37
1-2,0,101000,22.85
1-2,0,000010,24.08
1-2,0,011110,23.63
1-2,0,110100,25.79
1-2,0,001011,24.45
1-2,0,100001,22.2
1-2,0,100101,21.95
1-2,0,001111,24.41
1-2,0,110000,25.71
1-2,0,011010,23.65
1-3,0,010000,24.81
1-3,0,111010,25.41
1-3,0,000101,24.98
1-3,0,101111,22.19
1-3,0,101011,22.46
1-3,0,000001,25.02
1-3,0,111110,25.51
1-3,0,010100,24.82
1-3,0,001000,24.59
1-3,0,100010,21.51
1-3,0,011101,23.43
1-3,0,110111,24.52
1-3,0,110011,24.58
1-3,0,011001,23.52
1-3,0,100110,21.39
1-3,0,001100,24.53
1-3,0,110100,25.71
1-3,0,011110,23.59
1-3,0,100001,22.1
1-3,0,001011,24.28
1-3,0,001111,24.27
1-3,0,100101,21.88
1-3,0,011010,23.57
1-3,0,110000,25.69
1-3,0,101100,22.8
1-3,0,000110,23.44
1-3,0,111001,24.93
1-3,0,010011,24.63
1-3,0,010111,24.78
1-3,0,111101,24.95
1-3,0,000010,23.39
1-3,0,101000,22.82
1-3,0,001110,24.3
1-3,0,100100,21.49
1-3,0,011011,23.64
1-3,0,110001,25.12
1-3,0,110101,25.07
1-3,0,011111,23.66
1-3,0,100000,21.45
1-3,0,001010,24.38
1-3,0,010110,25.11
1-3,0,111100,25.61
1-3,0,000011,25.48
1-3,0,101001,22.62
1-3,0,101101,22.45
1-3,0,000111,25.45
1-3,0,111000,25.54
1-3,0,010010,25.17
1-3,0,101010,22.94
1-3,0,000000,24.06
1-3,0,111111,24.68
1-3,0,010101,24.34
1-3,0,010001,24.34
1-3,0,111011,24.9
1-3,0,000100,24.09
1-3,0,101110,22.8
1-3,0,110010,25.74
1-3,0,011000,23.6
1-3,0,100111,21.88
1-3,0,001101,24.52
1-3,0,001001,24.53
1-3,0,100011,22.17
1-3,0,011100,23.58
1-3,0,110110,25.79
3-1,0,011101,24.18
3-1,0,110111,25.66
3-1,0,001000,25.18
3-1,0,100010,22.7
3-1,0,100110,22.2
3-1,0,001100,25.34
3-1,0,110011,25.53
3-1,0,011001,24.17
3-1,0,000101,26.03
3-1,0,101111,23.24
3-1,0,010000,25.44
3-1,0,111010,27.25
3-1,0,111110,27.3
3-1,0,010100,25.45
3-1,0,101011,23.64
3-1,0,000001,26.0
3-1,0,111001,25.96
3-1,0,010011,25.41
3-1,0,101100,23.65
3-1,0,000110,24.18
3-1,0,000010,24.22
3-1,0,101000,24.07
3-1,0,010111,25.25
3-1,0,111101,25.72
3-1,0,100001,23.23
3-1,0,001011,24.89
3-1,0,110100,26.68
3-1,0,011110,24.2
3-1,0,011010,24.18
3-1,0,110000,26.84
3-1,0,001111,24.85
3-1,0,100101,22.99
3-1,2,011000,24.44
3-1,2,110010,27.16
3-1,2,001101,25.48
3-1,2,100111,22.71
3-1,1,111010,27.83
3-1,1,010000,25.58
3-1,1,101111,22.94
3-1,1,000101,25.77
3-1,1,000001,25.78
3-1,1,101011,23.55
3-1,1,010100,25.56
3-1,1,111110,27.88
3-1,2,100011,23.0
3-1,2,001001,25.75
3-1,2,110110,27.1
3-1,2,011100,24.48
3-1,2,000000,23.95
3-1,2,101010,24.06
3-1,2,010101,25.54
3-1,2,111111,26.08
3-1,1,100010,22.14
3-1,1,001000,25.54
3-1,1,110111,25.5
3-1,1,011101,23.96
3-1,1,011001,24.11
3-1,1,110011,25.51
3-1,1,001100,25.58
3-1,1,100110,22.07
3-1,2,111011,26.42
3-1,2,010001,25.59
3-1,2,101110,23.85
3-1,2,000100,24.05
3-1,2,111100,28.18
3-1,2,010110,26.33
3-1,2,101001,24.3
3-1,2,000011,25.58
3-1,1,011110,24.26
3-1,1,110100,26.74
3-1,1,001011,24.67
3-1,1,100001,23.14
3-1,1,100101,22.84
3-1,1,001111,24.7
3-1,1,110000,26.61
3-1,1,011010,24.26
3-1,2,000111,25.45
3-1,2,101101,23.99
3-1,2,010010,26.33
3-1,2,111000,27.66
3-1,2,100100,22.41
3-1,2,001110,24.77
3-1,2,110001,26.41
3-1,2,011011,24.48
3-1,1,000110,23.12
3-1,1,101100,25.65
3-1,1,010011,24.81
3-1,1,111001,25.84
3-1,1,111101,25.78
3-1,1,010111,24.84
3-1,1,101000,24.02
3-1,1,000010,23.22
3-1,2,011111,24.64
3-1,2,110101,26.42
3-1,2,001010,24.73
3-1,2,100000,22.74
3-1,2,000110,23.79
3-1,2,101100,23.98
3-1,2,010011,25.55
3-1,2,111001,26.7
3-1,1,100100,23.21
3-1,1,001110,24.02
3-1,1,110001,26.06
3-1,1,011011,23.98
3-1,1,011111,23.72
3-1,1,110101,26.05
3-1,1,001010,24.11
3-1,1,100000,23.39
3-1,2,111101,26.8
3-1,2,010111,25.5
3-1,2,101000,24.27
3-1,2,000010,23.77
3-1,2,011110,24.61
3-1,2,110100,27.17
3-1,2,001011,25.25
3-1,2,100001,23.44
3-1,1,111100,27.2
3-1,1,010110,25.95
3-1,1,101001,23.56
3-1,1,000011,25.25
3-1,1,000111,25.27
3-1,1,101101,23.35
3-1,1,010010,25.78
3-1,1,111000,27.25
3-1,2,100101,23.23
3-1,2,001111,25.27
3-1,2,110000,27.25
3-1,2,011010,24.57
3-1,2,100010,22.43
3-1,2,001000,25.04
3-1,2,110111,26.32
3-1,2,011101,24.55
3-1,1,000000,23.87
3-1,1,101010,24.73
3-1,1,010101,24.94
3-1,1,111111,25.42
3-1,1,111011,25.6
3-1,1,010001,24.86
3-1,1,101110,24.77
3-1,1,000100,23.8
3-1,2,011001,24.52
3-1,2,110011,26.35
3-1,2,001100,25.02
3-1,2,100110,22.3
3-1,2,111010,27.76
3-1,2,010000,25.91
3-1,2,101111,23.72
3-1,2,000101,26.09
3-1,1,011000,23.95
3-1,1,110010,26.56
3-1,1,001101,25.14
3-1,1,100111,22.59
3-1,1,100011,22.85
3-1,1,001001,24.78
3-1,1,110110,26.61
3-1,1,011100,23.88
3-1,2,000001,26.14
3-1,2,101011,24.3
3-1,2,010100,25.9
3-1,2,111110,27.77
3-1,0,000011,25.15
3-1,0,101001,24.24
3-1,0,010110,25.82
3-1,0,111100,27.55
3-1,0,111000,27.48
3-1,0,010010,25.89
3-1,0,101101,23.92
3-1,0,000111,25.12
3-1,0,011011,23.94
3-1,0,110001,26.33
3-1,0,001110,25.03
3-1,0,100100,22.56
3-1,0,100000,22.81
3-1,0,001010,24.74
3-1,0,110101,26.34
3-1,0,011111,23.99
3-1,0,100111,22.51
3-1,0,001101,25.1
3-1,0,110010,26.74
3-1,0,011000,24.17
3-1,0,011100,24.12
3-1,0,110110,26.64
3-1,0,001001,25.4
3-1,0,100011,22.71
3-1,0,111111,25.68
3-1,0,010101,25.35
3-1,0,101010,24.02
3-1,0,000000,24.03
3-1,0,000100,23.95
3-1,0,101110,23.6
3-1,0,010001,25.29
3-1,0,111011,25.71
3-2,2,011110,24.91
3-2,2,110100,30.57
3-2,2,001011,25.63
3-2,2,100001,23.85
3-2,1,111100,27.52
3-2,1,010110,26.37
3-2,1,101001,24.45
3-2,1,000011,24.87
3-2,1,000111,24.64
3-2,1,101101,24.26
3-2,1,010010,26.72
3-2,1,111000,27.51
3-2,2,100101,23.48
3-2,2,001111,24.94
3-2,2,110000,31.16
3-2,2,011010,24.88
3-2,2,000110,23.62
3-2,2,101100,23.68
3-2,2,010011,25.49
3-2,2,111001,26.11
3-2,1,100100,22.07
3-2,1,001110,24.0
3-2,1,110001,26.16
3-2,1,011011,23.93
3-2,1,011111,24.16
3-2,1,110101,26.1
3-2,1,001010,24.09
3-2,1,100000,22.19
3-2,2,111101,26.25
3-2,2,010111,25.45
3-2,2,101000,23.83
3-2,2,000010,23.73
3-2,2,111010,29.06
3-2,2,010000,26.29
3-2,2,101111,23.16
3-2,2,000101,26.06
3-2,1,011000,24.11
3-2,1,110010,26.93
3-2,1,001101,24.88
3-2,1,100111,22.33
3-2,1,100011,22.55
3-2,1,001001,24.86
3-2,1,110110,26.89
3-2,1,011100,24.19
3-2,2,000001,26.07
3-2,2,101011,23.35
3-2,2,010100,28.78
3-2,2,111110,29.15
3-2,2,100010,23.81
3-2,2,001000,25.56
3-2,2,110111,27.36
3-2,2,011101,24.53
3-2,1,000000,23.4
3-2,1,101010,24.28
3-2,1,010101,24.68
3-2,1,111111,25.3
3-2,1,111011,26.27
3-2,1,010001,24.74
3-2,1,101110,24.61
3-2,1,000100,23.36
3-2,2,011001,24.53
3-2,2,110011,26.4
3-2,2,001100,26.35
3-2,2,100110,23.56
3-2,0,011011,24.16
3-2,0,110001,26.15
3-2,0,001110,24.1
3-2,0,100100,23.25
3-2,0,100000,23.35
3-2,0,001010,24.1
3-2,0,110101,26.08
3-2,0,011111,24.18
3-2,0,000011,24.98
3-2,0,101001,25.03
3-2,0,010110,25.91
3-2,0,111100,27.42
3-2,0,111000,27.71
3-2,0,010010,26.56
3-2,0,101101,24.35
3-2,0,000111,25.25
3-2,0,111111,27.03
3-2,0,010101,25.53
3-2,0,101010,24.58
3-2,0,000000,23.91
3-2,0,000100,23.91
3-2,0,101110,24.31
3-2,0,010001,25.33
3-2,0,111011,26.71
3-2,0,100111,22.35
3-2,0,001101,24.82
3-2,0,110010,27.25
3-2,0,011000,24.31
3-2,0,011100,24.2
3-2,0,110110,27.26
3-2,0,001001,24.84
3-2,0,100011,22.48
3-2,0,000101,26.21
3-2,0,101111,23.57
3-2,0,010000,25.98
3-2,0,111010,28.62
3-2,0,111110,28.68
3-2,0,010100,25.88
3-2,0,101011,23.42
3-2,0,000001,26.25
3-2,0,011101,24.15
3-2,0,110111,25.93
3-2,0,001000,27.52
3-2,0,100010,22.18
3-2,0,100110,22.09
3-2,0,001100,26.11
3-2,0,110011,25.87
3-2,0,011001,24.16
3-2,0,100001,22.72
3-2,0,001011,24.69
3-2,0,110100,27.24
3-2,0,011110,24.47
3-2,0,011010,24.32
3-2,0,110000,27.37
3-2,0,001111,24.93
3-2,0,100101,22.42
3-2,0,111001,25.8
3-2,0,010011,25.07
3-2,0,101100,23.83
3-2,0,000110,23.92
3-2,0,000010,23.92
3-2,0,101000,24.04
3-2,0,010111,25.07
3-2,0,111101,25.85
3-2,2,000000,23.85
3-2,2,101010,24.44
3-2,2,010101,25.25
3-2,2,111111,25.43
3-2,1,100010,23.35
3-2,1,001000,25.99
3-2,1,110111,26.1
3-2,1,011101,24.3
3-2,1,011001,24.27
3-2,1,110011,26.03
3-2,1,001100,25.94
3-2,1,100110,22.06
3-2,2,111011,27.5
3-2,2,010001,25.68
3-2,2,101110,24.49
3-2,2,000100,23.76
3-2,2,011000,24.56
3-2,2,110010,28.13
3-2,2,001101,25.57
3-2,2,100111,22.85
3-2,1,111010,28.32
3-2,1,010000,29.12
3-2,1,101111,23.34
3-2,1,000101,25.77
3-2,1,000001,26.08
3-2,1,101011,23.75
3-2,1,010100,26.25
3-2,1,111110,28.47
3-2,2,100011,22.94
3-2,2,001001,25.62
3-2,2,110110,28.14
3-2,2,011100,24.56
3-2,2,100100,22.5
3-2,2,001110,24.72
3-2,2,110001,26.47
3-2,2,011011,24.49
3-2,1,000110,23.31
3-2,1,101100,23.69
3-2,1,010011,24.93
3-2,1,111001,25.58
3-2,1,111101,25.54
3-2,1,010111,24.95
3-2,1,101000,23.04
3-2,1,000010,23.43
3-2,2,011111,24.49
3-2,2,110101,26.53
3-2,2,001010,24.8
3-2,2,100000,22.71
3-2,2,111100,27.91
3-2,2,010110,26.33
3-2,2,101001,24.46
3-2,2,000011,25.68
3-2,1,011110,24.54
3-2,1,110100,29.61
3-2,1,001011,24.65
3-2,1,100001,22.55
3-2,1,100101,22.32
3-2,1,001111,24.53
3-2,1,110000,26.83
3-2,1,011010,24.98
3-2,2,000111,25.72
3-2,2,101101,24.8
3-2,2,010010,26.62
3-2,2,111000,27.81
12-1,0,100110,23.1
12-1,0,001100,24.6
12-1,0,110011,26.36
12-1,0,011001,24.1
12-1,0,011101,24.17
12-1,0,110111,26.44
12-1,0,001000,24.52
12-1,0,100010,22.92
12-1,0,111110,26.86
12-1,0,010100,25.87
12-1,0,101011,23.58
12-1,0,000001,25.3
12-1,0,000101,25.29
12-1,0,101111,23.16
12-1,0,010000,25.92
12-1,0,111010,26.82
12-1,0,000010,23.6
12-1,0,101000,23.94
12-1,0,010111,25.23
12-1,0,111101,25.65
12-1,0,111001,25.64
12-1,0,010011,25.23
12-1,0,101100,23.72
12-1,0,000110,23.57
12-1,0,011010,24.65
12-1,0,110000,26.28
12-1,0,001111,24.68
12-1,0,100101,23.47
12-1,0,100001,23.72
12-1,0,001011,24.66
12-1,0,110100,26.33
12-1,0,011110,24.68
12-1,1,000001,25.07
12-1,1,101011,23.45
12-1,1,010100,26.04
12-1,1,111110,26.91
12-1,2,100011,23.49
12-1,2,001001,25.41
12-1,2,110110,26.87
12-1,2,011100,24.78
12-1,2,011000,24.76
12-1,2,110010,26.79
12-1,2,001101,25.47
12-1,2,100111,23.25
12-1,1,111010,26.78
12-1,1,010000,25.99
12-1,1,101111,23.17
12-1,1,000101,25.16
12-1,1,011001,23.97
12-1,1,110011,25.41
12-1,1,001100,23.87
12-1,1,100110,22.27
12-1,2,111011,25.69
12-1,2,010001,25.6
12-1,2,101110,23.51
12-1,2,000100,24.04
12-1,2,000000,24.05
12-1,2,101010,23.65
12-1,2,010101,25.63
12-1,2,111111,25.78
12-1,1,100010,22.46
12-1,1,001000,23.87
12-1,1,110111,25.36
12-1,1,011101,23.99
12-1,1,100101,23.46
12-1,1,001111,24.59
12-1,1,110000,26.35
12-1,1,011010,24.45
12-1,2,000111,25.52
12-1,2,101101,24.25
12-1,2,010010,26.61
12-1,2,111000,27.12
12-1,2,111100,27.26
12-1,2,010110,26.69
12-1,2,101001,24.58
12-1,2,000011,25.43
12-1,1,011110,24.46
12-1,1,110100,26.31
12-1,1,001011,24.65
12-1,1,100001,23.7
12-1,1,111101,25.61
12-1,1,010111,24.9
12-1,1,101000,23.26
12-1,1,000010,23.46
12-1,2,011111,24.8
12-1,2,110101,26.68
12-1,2,001010,24.96
12-1,2,100000,23.37
12-1,2,100100,23.11
12-1,2,001110,24.96
12-1,2,110001,26.6
12-1,2,011011,24.77
12-1,1,000110,23.51
12-1,1,101100,23.17
12-1,1,010011,24.92
12-1,1,111001,25.7
12-1,1,011111,24.14
12-1,1,110101,26.12
12-1,1,001010,24.08
