setting,div,grammar,perplexity
5-2,1,110010,24.11
5-2,1,001101,23.5
5-2,1,100111,20.99
5-2,1,100011,21.22
5-2,1,001001,23.47
5-2,1,110110,24.19
5-2,1,011100,22.9
5-2,2,000001,23.58
5-2,2,101011,21.9
5-2,2,010100,23.8
5-2,2,111110,24.36
6-1,2,001001,24.88
6-1,2,100011,23.01
6-1,2,011100,25.09
6-1,2,110110,27.73
6-1,1,101011,22.87
6-1,1,000001,25.95
6-1,1,111110,27.2
6-1,1,010100,26.9
6-1,1,010000,26.92
6-1,1,111010,26.92
6-1,1,000101,25.92
6-1,1,101111,22.58
6-1,2,110010,27.79
6-1,2,011000,25.12
6-1,2,100111,22.77
6-1,2,001101,24.94
6-1,2,010001,25.05
6-1,2,111011,25.34
6-1,2,000100,23.95
6-1,2,101110,23.97
6-1,1,110011,25.49
6-1,1,011001,24.81
6-1,1,100110,21.82
6-1,1,001100,24.69
6-1,1,001000,23.94
6-1,1,100010,21.83
6-1,1,011101,23.63
6-1,1,110111,25.42
6-1,2,101010,23.29
6-1,2,000000,24.21
6-1,2,111111,25.05
6-1,2,010101,25.6
6-1,2,101101,23.34
6-1,2,000111,25.25
6-1,2,111000,27.37
6-1,2,010010,26.53
6-1,1,001111,24.98
6-1,1,100101,22.41
6-1,1,011010,24.43
6-1,1,110000,26.43
6-1,1,110100,26.51
6-1,1,011110,24.02
6-1,1,100001,22.59
6-1,1,001011,25.05
6-1,2,010110,26.49
6-1,2,111100,27.1
6-1,2,000011,25.38
6-1,2,101001,23.33
6-1,2,110101,26.05
6-1,2,011111,23.98
6-1,2,100000,22.07
6-1,2,001010,24.24
6-1,1,010111,24.79
6-1,1,111101,25.23
6-1,1,000010,24.25
6-1,1,101000,22.59
6-1,1,101100,22.85
6-1,1,000110,24.19
6-1,1,111001,25.45
6-1,1,010011,24.62
6-1,2,001110,25.07
6-1,2,100100,21.98
6-1,2,011011,23.99
6-1,2,110001,26.62
6-1,0,001100,24.25
6-1,0,100110,21.86
6-1,0,011001,24.36
6-1,0,110011,25.51
6-1,0,110111,25.63
6-1,0,011101,24.47
6-1,0,100010,22.28
6-1,0,001000,25.0
6-1,0,010100,25.6
6-1,0,111110,28.02
6-1,0,000001,25.99
6-1,0,101011,23.12
6-1,0,101111,22.51
6-1,0,000101,25.61
6-1,0,111010,28.0
6-1,0,010000,25.83
6-1,0,101000,24.37
6-1,0,000010,24.14
6-1,0,111101,25.61
6-1,0,010111,25.18
6-1,0,010011,25.22
6-1,0,111001,25.62
6-1,0,000110,24.16
6-1,0,101100,22.88
6-1,0,110000,27.01
6-1,0,011010,24.21
6-1,0,100101,22.43
6-1,0,001111,24.61
6-1,0,001011,25.25
6-1,0,100001,22.59
6-1,0,011110,24.26
6-1,0,110100,26.89
6-1,0,010010,26.3
6-1,0,111000,27.05
6-1,0,000111,25.79
6-1,0,101101,23.16
6-1,0,101001,23.27
6-1,0,000011,25.72
6-1,0,111100,26.8
6-1,0,010110,27.45
6-1,0,001010,24.86
6-1,0,100000,21.72
6-1,0,011111,24.21
6-1,0,110101,25.83
6-1,0,110001,25.89
6-1,0,011011,24.15
6-1,0,100100,21.77
6-1,0,001110,24.84
6-1,0,110110,27.55
6-1,0,011100,25.34
6-1,0,100011,22.7
6-1,0,001001,24.67
6-1,0,001101,24.59
6-1,0,100111,22.56
6-1,0,011000,25.3
6-1,0,110010,27.56
6-1,0,101110,23.15
6-1,0,000100,23.87
6-1,0,111011,25.18
6-1,0,010001,25.1
6-1,0,010101,25.11
6-1,0,111111,24.68
6-1,0,000000,23.78
6-1,0,101010,23.45
6-1,2,010111,25.19
6-1,2,111101,26.08
6-1,2,000010,24.79
6-1,2,101000,23.1
6-1,1,110101,25.65
6-1,1,011111,23.47
6-1,1,100000,21.4
6-1,1,001010,24.0
6-1,1,001110,23.66
6-1,1,100100,21.55
6-1,1,011011,23.62
6-1,1,110001,25.69
6-1,2,101100,23.11
6-1,2,000110,24.8
6-1,2,111001,26.06
6-1,2,010011,25.36
6-1,2,001111,25.51
6-1,2,100101,22.68
6-1,2,011010,24.51
6-1,2,110000,27.32
6-1,1,101101,22.92
6-1,1,000111,25.5
6-1,1,111000,26.44
6-1,1,010010,26.19
6-1,1,010110,26.18
6-1,1,111100,26.78
6-1,1,000011,25.51
6-1,1,101001,22.69
6-1,2,110100,27.37
6-1,2,011110,24.52
6-1,2,100001,22.77
6-1,2,001011,25.44
6-1,2,110011,26.03
6-1,2,011001,24.22
6-1,2,100110,22.01
6-1,2,001100,25.02
6-1,1,010001,25.04
6-1,1,111011,24.78
6-1,1,000100,23.73
6-1,1,101110,23.31
6-1,1,101010,23.5
6-1,1,000000,23.74
6-1,1,111111,24.58
6-1,1,010101,25.1
6-1,2,001000,24.23
6-1,2,100010,22.2
6-1,2,011101,24.58
6-1,2,110111,25.79
6-1,2,101011,23.24
6-1,2,000001,25.74
6-1,2,111110,28.03
6-1,2,010100,27.08
6-1,1,001001,24.52
6-1,1,100011,22.25
6-1,1,011100,24.0
6-1,1,110110,27.7
6-1,1,110010,26.45
6-1,1,011000,23.97
6-1,1,100111,21.95
6-1,1,001101,24.59
6-1,2,010000,26.1
6-1,2,111010,28.02
6-1,2,000101,25.8
6-1,2,101111,23.17
6-2,2,101101,23.17
6-2,2,000111,25.31
6-2,2,111000,26.77
6-2,2,010010,27.19
6-2,1,001111,24.31
6-2,1,100101,22.59
6-2,1,011010,25.04
6-2,1,110000,27.06
6-2,1,110100,27.15
6-2,1,011110,26.17
6-2,1,100001,22.78
6-2,1,001011,24.24
6-2,2,010110,27.11
6-2,2,111100,26.7
6-2,2,000011,25.51
6-2,2,101001,23.3
6-2,2,110101,26.8
6-2,2,011111,23.82
6-2,2,100000,22.48
6-2,2,001010,24.26
6-2,1,010111,24.53
6-2,1,111101,25.33
6-2,1,000010,23.86
6-2,1,101000,22.09
6-2,1,101100,22.14
6-2,1,000110,23.88
6-2,1,111001,25.27
6-2,1,010011,24.19
6-2,2,001110,24.07
6-2,2,100100,22.23
6-2,2,011011,24.45
6-2,2,110001,26.88
6-2,2,001001,26.92
6-2,2,100011,22.85
6-2,2,011100,25.04
6-2,2,110110,28.68
6-2,1,101011,22.72
6-2,1,000001,24.69
6-2,1,111110,26.8
6-2,1,010100,26.06
6-2,1,010000,26.25
6-2,1,111010,27.4
6-2,1,000101,25.38
6-2,1,101111,22.43
6-2,2,110010,28.83
6-2,2,011000,24.98
6-2,2,100111,22.54
6-2,2,001101,25.3
6-2,2,010001,24.76
6-2,2,111011,25.57
6-2,2,000100,23.52
6-2,2,101110,22.68
6-2,1,110011,25.68
6-2,1,011001,23.53
6-2,1,100110,21.47
6-2,1,001100,24.8
6-2,1,001000,24.66
6-2,1,100010,21.76
6-2,1,011101,23.38
6-2,1,110111,25.64
6-2,2,101010,22.87
6-2,2,000000,23.61
6-2,2,111111,25.01
6-2,2,010101,24.77
6-2,0,101000,22.17
6-2,0,000010,23.78
6-2,0,111101,25.1
6-2,0,010111,24.57
6-2,0,010011,24.71
6-2,0,111001,25.02
6-2,0,000110,23.78
6-2,0,101100,22.11
6-2,0,110000,27.85
6-2,0,011010,25.08
6-2,0,100101,22.56
6-2,0,001111,25.14
6-2,0,001011,25.2
6-2,0,100001,22.77
6-2,0,011110,25.13
6-2,0,110100,26.66
6-2,0,001100,24.49
6-2,0,100110,21.96
6-2,0,011001,23.69
6-2,0,110011,26.11
6-2,0,110111,26.09
6-2,0,011101,23.65
6-2,0,100010,22.22
6-2,0,001000,24.57
6-2,0,010100,25.7
6-2,0,111110,26.51
6-2,0,000001,25.13
6-2,0,101011,23.04
6-2,0,101111,22.81
6-2,0,000101,25.15
6-2,0,111010,26.37
6-2,0,010000,25.34
6-2,0,110110,27.46
6-2,0,011100,25.04
6-2,0,100011,22.38
6-2,0,001001,25.66
6-2,0,001101,25.65
6-2,0,100111,22.13
6-2,0,011000,25.01
6-2,0,110010,27.44
6-2,0,101110,22.81
6-2,0,000100,23.53
6-2,0,111011,25.12
6-2,0,010001,24.82
6-2,0,010101,24.95
6-2,0,111111,25.2
6-2,0,000000,23.33
6-2,0,101010,22.75
6-2,0,010010,26.08
6-2,0,111000,27.17
6-2,0,000111,24.82
6-2,0,101101,23.1
6-2,0,101001,23.46
6-2,0,000011,24.97
6-2,0,111100,27.1
6-2,0,010110,25.64
6-2,0,001010,24.06
6-2,0,100000,21.43
6-2,0,011111,23.7
6-2,0,110101,26.32
6-2,0,110001,26.43
6-2,0,011011,23.6
6-2,0,100100,21.77
6-2,0,001110,23.96
6-2,2,110011,26.69
6-2,2,011001,24.06
6-2,2,100110,22.31
6-2,2,001100,25.5
6-2,1,010001,24.45
6-2,1,111011,25.25
6-2,1,000100,23.32
6-2,1,101110,22.61
6-2,1,101010,22.42
6-2,1,000000,23.09
6-2,1,111111,25.21
6-2,1,010101,24.29
6-2,2,001000,25.43
6-2,2,100010,22.44
6-2,2,011101,24.01
6-2,2,110111,26.79
6-2,2,101011,23.09
6-2,2,000001,25.53
6-2,2,111110,27.81
6-2,2,010100,26.52
6-2,1,001001,24.76
6-2,1,100011,22.33
6-2,1,011100,23.98
6-2,1,110110,27.43
6-2,1,110010,27.06
6-2,1,011000,23.85
6-2,1,100111,22.12
6-2,1,001101,24.43
6-2,2,010000,26.51
6-2,2,111010,27.76
6-2,2,000101,25.53
6-2,2,101111,22.89
6-2,2,010111,24.99
6-2,2,111101,25.73
6-2,2,000010,23.66
6-2,2,101000,22.57
6-2,1,110101,25.79
6-2,1,011111,23.46
6-2,1,100000,21.63
6-2,1,001010,24.06
6-2,1,001110,24.1
6-2,1,100100,21.5
6-2,1,011011,23.43
6-2,1,110001,25.69
6-2,2,101100,22.42
6-2,2,000110,23.67
6-2,2,111001,25.66
6-2,2,010011,24.88
6-2,2,001111,25.27
6-2,2,100101,23.2
6-2,2,011010,24.71
6-2,2,110000,27.64
6-2,1,101101,23.43
6-2,1,000111,24.96
6-2,1,111000,26.36
6-2,1,010010,25.93
6-2,1,010110,26.16
6-2,1,111100,26.4
6-2,1,000011,24.91
6-2,1,101001,23.04
6-2,2,110100,27.63
6-2,2,011110,24.87
6-2,2,100001,23.42
6-2,2,001011,25.3
6-3,1,111101,24.95
6-3,1,010111,24.67
6-3,1,101000,22.16
6-3,1,000010,24.78
6-3,2,011111,24.25
6-3,2,110101,25.85
6-3,2,001010,24.52
6-3,2,100000,22.02
6-3,2,100100,21.73
6-3,2,001110,24.61
6-3,2,110001,25.76
6-3,2,011011,24.22
6-3,1,000110,24.7
6-3,1,101100,22.18
6-3,1,010011,24.73
6-3,1,111001,24.82
6-3,1,100101,22.15
6-3,1,001111,25.11
6-3,1,110000,26.56
6-3,1,011010,25.43
6-3,2,000111,25.73
6-3,2,101101,22.98
6-3,2,010010,26.3
6-3,2,111000,26.93
6-3,2,111100,26.94
6-3,2,010110,26.31
6-3,2,101001,23.36
6-3,2,000011,25.75
6-3,1,011110,25.65
6-3,1,110100,26.31
6-3,1,001011,24.31
6-3,1,100001,22.52
6-3,1,011001,23.54
6-3,1,110011,25.68
6-3,1,001100,26.0
6-3,1,100110,22.21
6-3,2,111011,25.39
6-3,2,010001,24.87
6-3,2,101110,22.79
6-3,2,000100,23.34
6-3,2,000000,23.29
6-3,2,101010,22.8
6-3,2,010101,24.62
6-3,2,111111,25.43
6-3,1,100010,22.16
6-3,1,001000,24.24
6-3,1,110111,25.75
6-3,1,011101,23.44
6-3,1,000001,26.05
6-3,1,101011,22.73
6-3,1,010100,25.72
6-3,1,111110,26.31
6-3,2,100011,23.13
6-3,2,001001,25.36
6-3,2,110110,28.41
6-3,2,011100,25.17
6-3,2,011000,25.14
6-3,2,110010,28.46
6-3,2,001101,25.27
6-3,2,100111,22.86
6-3,1,111010,26.44
6-3,1,010000,25.75
6-3,1,101111,22.51
6-3,1,000101,26.0
6-3,0,011010,25.45
6-3,0,110000,26.66
6-3,0,001111,25.18
6-3,0,100101,22.38
6-3,0,100001,22.51
6-3,0,001011,25.19
6-3,0,110100,26.65
6-3,0,011110,25.45
6-3,0,000010,25.24
6-3,0,101000,22.53
6-3,0,010111,26.6
6-3,0,111101,24.77
6-3,0,111001,25.0
6-3,0,010011,24.78
6-3,0,101100,22.25
6-3,0,000110,25.08
6-3,0,111110,26.06
6-3,0,010100,26.09
6-3,0,101011,22.92
6-3,0,000001,25.93
6-3,0,000101,25.95
6-3,0,101111,22.45
6-3,0,010000,25.68
6-3,0,111010,26.41
6-3,0,100110,22.13
6-3,0,001100,26.07
6-3,0,110011,26.41
6-3,0,011001,23.67
6-3,0,011101,23.86
6-3,0,110111,25.89
6-3,0,001000,24.59
6-3,0,100010,21.78
6-3,0,000100,23.84
6-3,0,101110,22.29
6-3,0,010001,24.91
6-3,0,111011,25.09
6-3,0,111111,24.72
6-3,0,010101,24.87
6-3,0,101010,22.45
6-3,0,000000,23.95
6-3,0,011100,24.91
6-3,0,110110,27.87
6-3,0,001001,24.56
6-3,0,100011,22.53
6-3,0,100111,22.51
6-3,0,001101,24.48
6-3,0,110010,27.86
6-3,0,011000,24.84
6-3,0,100000,21.64
6-3,0,001010,23.81
6-3,0,110101,26.02
6-3,0,011111,23.61
6-3,0,011011,23.93
6-3,0,110001,26.05
6-3,0,001110,23.87
6-3,0,100100,21.43
6-3,0,111000,26.12
6-3,0,010010,26.48
6-3,0,101101,23.01
6-3,0,000111,25.83
6-3,0,000011,25.84
6-3,0,101001,23.2
6-3,0,010110,26.36
6-3,0,111100,26.05
6-3,1,100011,22.57
6-3,1,001001,24.42
6-3,1,110110,27.17
6-3,1,011100,24.58
6-3,2,000001,26.31
6-3,2,101011,23.65
6-3,2,010100,26.73
6-3,2,111110,27.16
6-3,2,111010,26.56
6-3,2,010000,26.7
6-3,2,101111,22.71
6-3,2,000101,26.2
6-3,1,011000,24.53
6-3,1,110010,27.28
6-3,1,001101,24.85
6-3,1,100111,22.1
6-3,1,111011,24.34
6-3,1,010001,24.52
6-3,1,101110,22.45
6-3,1,000100,23.14
6-3,2,011001,24.3
6-3,2,110011,26.46
6-3,2,001100,24.46
6-3,2,100110,22.08
6-3,2,100010,22.16
6-3,2,001000,24.43
6-3,2,110111,25.9
6-3,2,011101,23.9
6-3,1,000000,22.88
6-3,1,101010,22.56
6-3,1,010101,24.88
6-3,1,111111,24.22
6-3,1,000111,25.56
6-3,1,101101,22.87
6-3,1,010010,26.2
6-3,1,111000,25.91
6-3,2,100101,22.51
6-3,2,001111,24.76
6-3,2,110000,27.83
6-3,2,011010,26.97
6-3,2,011110,26.46
6-3,2,110100,27.97
6-3,2,001011,25.4
6-3,2,100001,22.77
6-3,1,111100,26.05
6-3,1,010110,26.21
6-3,1,101001,23.22
6-3,1,000011,25.58
6-3,1,011111,23.75
6-3,1,110101,25.47
6-3,1,001010,23.62
6-3,1,100000,22.87
6-3,2,111101,25.44
6-3,2,010111,24.61
6-3,2,101000,22.57
6-3,2,000010,24.36
6-3,2,000110,23.34
6-3,2,101100,22.73
6-3,2,010011,24.76
6-3,2,111001,25.61
6-3,1,100100,21.13
6-3,1,001110,23.54
6-3,1,110001,25.48
6-3,1,011011,23.75
7-1,0,101110,23.24
7-1,0,000100,23.65
7-1,0,111011,26.2
7-1,0,010001,25.38
7-1,0,010101,25.38
7-1,0,111111,26.03
7-1,0,000000,23.67
7-1,0,101010,23.4
7-1,0,110110,27.59
7-1,0,011100,24.35
7-1,0,100011,22.71
7-1,0,001001,25.15
7-1,0,001101,25.12
7-1,0,100111,22.39
7-1,0,011000,24.61
7-1,0,110010,28.41
7-1,0,001010,24.44
7-1,0,100000,23.52
7-1,0,011111,24.51
7-1,0,110101,25.67
7-1,0,110001,25.84
7-1,0,011011,24.77
7-1,0,100100,22.16
7-1,0,001110,24.43
7-1,0,010010,26.22
7-1,0,111000,27.25
7-1,0,000111,24.97
7-1,0,101101,23.3
7-1,0,101001,23.69
7-1,0,000011,24.97
7-1,0,111100,27.23
7-1,0,010110,25.79
7-1,1,001001,24.87
7-1,1,100011,22.71
7-1,1,011100,24.9
7-1,1,110110,28.04
7-1,2,101011,23.84
7-1,2,000001,26.09
7-1,2,111110,28.08
7-1,2,010100,26.7
7-1,2,010000,26.61
7-1,2,111010,28.09
7-1,2,000101,25.47
7-1,2,101111,23.9
7-1,1,110010,28.14
7-1,1,011000,24.85
7-1,1,100111,22.4
7-1,1,001101,24.96
7-1,1,010001,25.45
7-1,1,111011,25.7
7-1,1,000100,23.08
7-1,1,101110,23.01
7-1,2,110011,28.18
7-1,2,011001,24.34
7-1,2,100110,22.57
7-1,2,001100,24.41
7-1,2,001000,24.55
7-1,2,100010,22.72
7-1,2,011101,24.34
7-1,2,110111,26.11
7-1,1,101010,25.41
7-1,1,000000,23.1
7-1,1,111111,25.91
7-1,1,010101,25.3
7-1,1,101101,23.63
7-1,1,000111,25.06
7-1,1,111000,27.08
7-1,1,010010,25.97
7-1,2,001111,25.09
7-1,2,100101,23.03
7-1,2,011010,25.2
7-1,2,110000,28.66
7-1,2,110100,28.12
7-1,2,011110,25.34
7-1,2,100001,23.14
7-1,2,001011,25.09
7-1,1,010110,25.91
7-1,1,111100,27.32
7-1,1,000011,25.18
7-1,1,101001,24.2
7-1,1,110101,25.64
7-1,1,011111,24.06
7-1,1,100000,21.96
7-1,1,001010,24.25
7-1,2,010111,25.76
7-1,2,111101,26.38
7-1,2,000010,23.94
7-1,2,101000,27.81
7-1,2,101100,27.26
7-1,2,000110,23.95
7-1,2,111001,26.43
7-1,2,010011,25.71
7-1,1,001110,24.12
7-1,1,100100,23.55
7-1,1,011011,23.94
7-1,1,110001,26.22
7-1,1,010111,25.67
7-1,1,111101,26.13
7-1,1,000010,23.23
7-1,1,101000,24.88
7-1,2,110101,26.2
7-1,2,011111,24.39
7-1,2,100000,23.35
7-1,2,001010,24.56
7-1,2,001110,24.7
7-1,2,100100,23.77
7-1,2,011011,24.28
7-1,2,110001,26.87
7-1,1,101100,27.28
7-1,1,000110,23.24
7-1,1,111001,26.58
7-1,1,010011,26.04
7-1,1,001111,24.98
7-1,1,100101,22.0
7-1,1,011010,25.94
7-1,1,110000,27.14
7-1,2,101101,25.49
7-1,2,000111,25.49
7-1,2,111000,27.77
7-1,2,010010,26.55
7-1,2,010110,26.62
7-1,2,111100,27.97
7-1,2,000011,25.5
7-1,2,101001,24.77
7-1,1,110100,27.49
7-1,1,011110,25.86
7-1,1,100001,22.29
7-1,1,001011,24.95
7-1,1,110011,25.84
7-1,1,011001,24.11
7-1,1,100110,22.28
7-1,1,001100,23.72
7-1,2,010001,25.53
7-1,2,111011,26.0
7-1,2,000100,23.63
7-1,2,101110,23.68
7-1,2,101010,24.59
7-1,2,000000,23.57
7-1,2,111111,25.75
7-1,2,010101,25.56
7-1,1,001000,23.7
7-1,1,100010,22.5
7-1,1,011101,23.92
7-1,1,110111,26.08
7-1,1,101011,23.73
7-1,1,000001,26.25
7-1,1,111110,26.92
7-1,1,010100,25.74
7-1,2,001001,25.36
7-1,2,100011,22.97
7-1,2,011100,24.8
7-1,2,110110,27.73
7-1,2,110010,27.36
7-1,2,011000,24.64
7-1,2,100111,22.72
7-1,2,001101,25.53
7-1,1,010000,25.79
7-1,1,111010,27.31
7-1,1,000101,25.26
7-1,1,101111,23.07
7-1,0,110000,27.61
7-1,0,011010,25.84
7-1,0,100101,22.51
7-1,0,001111,25.02
7-1,0,001011,25.01
7-1,0,100001,22.64
7-1,0,011110,25.01
7-1,0,110100,27.46
7-1,0,101000,26.88
7-1,0,000010,23.9
7-1,0,111101,26.04
7-1,0,010111,25.31
7-1,0,010011,25.35
7-1,0,111001,26.0
7-1,0,000110,23.95
7-1,0,101100,27.79
7-1,0,010100,26.34
7-1,0,111110,28.39
7-1,0,000001,25.88
7-1,0,101011,23.9
7-1,0,101111,23.33
7-1,0,000101,25.43
7-1,0,111010,29.06
7-1,0,010000,26.31
7-1,0,001100,25.04
7-1,0,100110,23.37
7-1,0,011001,24.07
7-1,0,110011,25.99
7-1,0,110111,25.87
7-1,0,011101,24.08
7-1,0,100010,23.53
7-1,0,001000,25.1
7-2,2,011000,24.69
7-2,2,110010,27.44
7-2,2,001101,26.02
7-2,2,100111,28.34
7-2,1,111010,27.92
7-2,1,010000,25.28
7-2,1,101111,22.74
7-2,1,000101,26.03
7-2,1,000001,26.01
7-2,1,101011,23.13
7-2,1,010100,25.2
7-2,1,111110,26.61
7-2,2,100011,24.04
7-2,2,001001,26.01
7-2,2,110110,27.72
7-2,2,011100,24.69
7-2,2,000000,24.12
7-2,2,101010,24.67
7-2,2,010101,25.21
7-2,2,111111,26.06
7-2,1,100010,22.21
7-2,1,001000,24.59
7-2,1,110111,25.38
7-2,1,011101,23.84
7-2,1,011001,23.88
7-2,1,110011,25.46
7-2,1,001100,24.61
7-2,1,100110,22.2
7-2,2,111011,25.97
7-2,2,010001,25.13
7-2,2,101110,23.56
7-2,2,000100,24.1
7-2,2,111100,28.16
7-2,2,010110,25.83
7-2,2,101001,23.47
7-2,2,000011,25.78
7-2,1,011110,24.2
7-2,1,110100,26.5
7-2,1,001011,25.05
7-2,1,100001,22.66
7-2,1,100101,22.36
7-2,1,001111,25.16
7-2,1,110000,26.81
7-2,1,011010,24.21
7-2,2,000111,25.82
7-2,2,101101,23.45
7-2,2,010010,25.87
7-2,2,111000,27.71
7-2,2,100100,23.45
7-2,2,001110,24.89
7-2,2,110001,26.19
7-2,2,011011,24.11
7-2,1,000110,24.07
7-2,1,101100,23.14
7-2,1,010011,24.4
7-2,1,111001,25.4
7-2,1,111101,25.67
7-2,1,010111,24.76
7-2,1,101000,23.26
7-2,1,000010,24.15
7-2,2,011111,24.12
7-2,2,110101,26.15
7-2,2,001010,24.87
7-2,2,100000,23.67
7-2,0,011101,23.87
7-2,0,110111,25.68
7-2,0,001000,24.91
7-2,0,100010,22.46
7-2,0,100110,22.13
7-2,0,001100,24.53
7-2,0,110011,25.66
7-2,0,011001,23.9
7-2,0,000101,25.71
7-2,0,101111,23.26
7-2,0,010000,25.31
7-2,0,111010,26.61
7-2,0,111110,26.94
7-2,0,010100,25.34
7-2,0,101011,23.21
7-2,0,000001,25.55
7-2,0,111001,25.31
7-2,0,010011,24.82
7-2,0,101100,22.85
7-2,0,000110,24.02
7-2,0,000010,24.0
7-2,0,101000,22.59
7-2,0,010111,25.05
7-2,0,111101,26.02
7-2,0,100001,22.64
7-2,0,001011,24.8
7-2,0,110100,26.45
7-2,0,011110,24.11
7-2,0,011010,24.09
7-2,0,110000,27.04
7-2,0,001111,25.11
